1936,,Dem.,523/531,98.49%,60.80%,24.26%,"27,752,648","11,070,786",Alf Landon,Rep.,61.00%
1940,,Dem.,449/531,84.56%,54.74%,9.96%,"27,313,945","4,966,201",Wendell Willkie,Rep.,62.40%
1944,,Dem.,432/531,81.36%,53.39%,7.50%,"25,612,916","3,594,987",Thomas E. Dewey,Rep.,55.90%
1948,Harry S. Truman,Dem.,303/531,57.06%,49.55%,4.48%,"24,179,347","2,188,055",Thomas E. Dewey,Rep.,52.20%
1952,Dwight D. Eisenhower,Rep.,442/531,83.24%,55.18%,10.85%,"34,075,529","6,700,439",Adlai Stevenson II,Dem.,62.30%
1956,,Rep.,457/531,86.06%,57.37%,15.40%,"35,579,180","9,551,152",,Dem.,60.20%
1960,John F. Kennedy,Dem.,303/537,56.42%,49.72%,0.17%,"34,220,984","112,827",Richard Nixon,Rep.,63.80%
1964,Lyndon B. Johnson,Dem.,486/538,90.33%,61.05%,22.58%,"43,129,040","15,953,286",Barry Goldwater,Rep.,62.80%
1968,Richard Nixon,Rep.,301/538,55.95%,43.42%,0.70%,"31,783,783","511,944",Hubert Humphrey,Dem.,62.50%
1972,Richard Nixon,Rep.,520/538,96.65%,60.67%,23.15%,"47,168,710","17,995,488",George McGovern,Dem.,56.20%
1976,Jimmy Carter,Dem.,297/538,55.20%,50.08%,2.06%,"40,831,881","1,683,247",Gerald Ford,Rep.,54.80%
1980,Ronald Reagan,Rep.,489/538,90.89%,50.75%,9.74%,"43,903,230","8,422,115",Jimmy Carter,Dem.,54.20%
1984,,Rep.,525/538,97.58%,58.77%,18.21%,"54,455,472","16,878,120",Walter Mondale,Dem.,55.20%
1988,George H. W. Bush,Rep.,426/538,79.18%,53.37%,7.72%,"48,886,597","7,077,121",Michael Dukakis,Dem.,52.80%
1992,Bill Clinton,Dem.,370/538,68.77%,43.01%,5.56%,"44,909,889","5,805,339",George H. W. Bush,Rep.,58.10%
1996,,Dem.,379/538,70.45%,49.23%,8.51%,"47,401,185","8,203,716",Bob Dole,Rep.,51.70%
2000,George W. Bush,Rep.,271/538,50.47%,47.87%,−0.51%,"50,456,002","−543,895",Al Gore,Dem.,54.20%
2004,George W. Bush,Rep.,286/538,53.16%,50.73%,2.46%,"62,040,610","3,012,166",John Kerry,Dem.,60.10%
2008,Barack Obama,Dem.,365/538,67.84%,52.93%,7.27%,"69,498,516","9,550,193",John McCain,Rep.,61.60%
2012,,Dem.,332/538,61.71%,51.06%,3.86%,"65,915,795","4,982,291",Mitt Romney,Rep.,58.60%
2016,Donald Trump,Rep.,304/538,56.50%,46.09%,−2.09%,"62,984,828","−2,868,686",Hillary Clinton,Dem.,60.10%
2020,Joe Biden,Dem.,306/538,56.88%,51.31%,4.45%,"81,283,501","7,059,526",Donald Trump,Rep.,66.60%
2024,Donald Trump,Rep.,312/538,57.99%,49.80%,1.48%,"77,302,580","2,284,967",Kamala Harris,Dem.,64.10%
